word_counts_vec,sent_counts_vec,para_counts_vec,commas_vec,sent_comma_freq_vec,para_comma_freq_vec,words_per_sentence_vec,words_per_paragraph_vec,sents_per_paragraph_vec,consecutive_counts_vec,consecutive_repeat_freq_vec,syll_and_word_freq_vec,polsyll_and_word_freq_vec,syll_and_sent_freq_vec,polsyll_and_sent_freq_vec,unique_counts_vec,type_token_ratio_vec,mean_usage_frequency_vec,median_MATTR,object_freq,relationship_freq,time_freq,self_freq,perceive_freq,i_freq,top_ten_freq,dialogue_freq,question_vec,exclamation_vec,sentiment_vec,label2
0.685979596,-0.772227602,-1.012336446,0.103615165,2.114250905,2.158996178,3.816494389,3.56375337,0.810410596,-0.243111419,1.633541145,-0.195624664,-0.496866624,3.335499823,1.325590404,0.276713359,-0.89872701,1.001779734,-0.852695272,-1.242649363,1.425468036,2.241848363,-0.869752767,-0.412213229,-0.813763257,0.039651927,-0.800084383,-0.568612155,-0.539622035,-0.787354948,lyrical
-1.111971495,-1.257108257,-1.213406975,-0.899349345,0.969962305,0.599615515,1.39553111,0.893503275,0.1363778,-1.024170349,-1.334259745,2.28608339,2.178415362,1.655540839,2.124286567,-0.541455138,3.554906083,-2.069427839,1.030510933,-1.273497045,1.210269546,-0.782141527,-1.262535396,-0.126944971,-1.294063619,0.497478935,-1.014481259,-1.132645443,-0.654888712,1.161451428,lyrical
0.377845089,0.388663914,0.469574818,-0.924524526,-1.685558834,-1.0548238,-0.30372872,-0.43958261,-0.397815785,1.08141159,1.620910746,-1.139160417,-1.114111672,-0.422687816,-0.689792593,0.556747339,-0.164559314,-0.084846964,-1.691810962,0.704231815,-1.376525338,-1.308062358,-1.265057533,-1.155993618,-1.226832924,2.754896327,-0.921060084,-0.252254002,-0.724483687,-1.958208589,lyrical
-0.973974228,-1.269679237,-1.23702024,-0.639328315,3.325976393,2.266322702,2.607921262,1.833329293,0.292979055,-0.939510115,-0.103340159,3.559001745,3.942649658,3.193144285,4.812028442,-0.944163385,0.623803116,-0.811196511,-1.211401216,-2.932695159,0.651380357,-0.828936037,-1.017988491,0.096510894,-0.957341502,1.470595234,-1.266125179,-1.178434123,-0.698385571,3.6377051,lyrical
4.173096255,3.286403068,2.63698632,4.522318827,0.734968145,0.190797717,0.02414239,-0.130405569,-0.169870107,1.010406233,-1.069435015,0.724411627,0.410701931,0.081745296,0.096358295,4.7263972,-0.442396089,0.263125347,2.151467007,0.264206782,0.334155348,0.613413534,-1.205147238,-1.245025312,-1.189351985,-2.159126725,-0.715882328,3.192303528,0.969718979,-0.494581141,lyrical
-0.964819099,-0.932571734,-1.278522342,-0.750687145,-0.083157621,2.507548035,-0.156993122,2.829535373,4.187118825,-0.513477972,1.093618311,-0.08083054,0.025457451,-0.178740135,-0.170362799,-0.631994357,1.731666705,-1.455428293,0.10812422,-0.639628623,-0.627129302,-0.863809378,0.926916545,0.53068313,1.060717263,0.593317478,-0.569930294,-1.005685921,-0.389557871,-1.314349443,lyrical
-0.48379552,-0.457696553,-0.874234624,-0.586772828,-0.612056092,0.028378944,-0.253627371,0.478057516,0.938887703,-0.240380444,0.372605419,-1.178747254,-1.185035171,-0.384822676,-0.701839915,-0.339718454,0.25943859,-0.514290269,-0.410718306,1.967510689,-0.519521023,1.121449824,-0.659941657,-0.595239957,-0.637717932,0.769244821,-0.89840506,-0.495766528,-0.459152846,-1.163385966,lyrical
0.324801783,-0.222696193,-0.568693287,0.335888367,0.776500902,0.658979987,0.626434674,0.631842232,0.33261897,-0.185760938,-0.026661255,0.832967746,0.709992315,0.659747292,0.617870677,1.585578922,1.255890002,-1.216245855,1.389216876,0.116053999,-0.725323384,-0.192311074,1.202613789,-1.653978014,0.805171627,-0.299028041,-0.843667041,-0.468709581,-0.165549046,0.176513107,lyrical
2.12389947,0.34479376,0.3221708,1.68689516,1.606363061,0.463901979,1.680958736,0.497439326,-0.313385821,-0.417893837,-1.321317208,0.217977442,0.250183268,1.523679075,0.95730029,2.257354427,-0.509508506,0.357177933,0.665399526,0.660849515,0.786233652,0.942503799,-0.642979278,-0.80098235,-0.6742873,-0.992028416,-1.011654654,0.480364881,2.511682638,-0.195816752,lyrical
-0.520610079,-0.675251471,-0.879959052,-0.157508428,0.932855586,0.83932933,0.21826642,0.43910658,0.415434334,-0.409700911,0.411068139,0.341909351,0.096019304,0.212255162,0.059884589,-0.206077465,0.680962704,-0.852973616,-0.212148944,-0.74356527,-1.041517534,-0.836975195,-1.386775054,-0.967552628,-1.402267151,-0.406788849,-1.038328306,-0.579018674,0.017137763,0.292850122,lyrical
-0.251071764,-0.70424169,-1.096771757,-0.166880211,1.011233596,2.208821674,0.980975218,2.364364221,1.782923013,-0.469782367,0.246898827,-0.068998167,-0.017031332,0.839777298,0.398870798,0.382810022,0.971778836,-1.048644379,0.06969144,-0.162578328,-1.249239918,-0.760391512,-1.385002624,-1.386056482,-1.392295219,0.328240635,-1.069210396,-0.876645095,-0.302564153,0.111082262,lyrical
-0.452431703,-0.895628446,-0.724683946,-0.471922549,0.81728565,-0.07946854,1.355403118,0.120824763,-0.515023251,-0.723763068,-0.362865605,1.252206197,1.185921135,1.421653849,1.411705026,0.907937495,2.826584167,-1.867221504,1.229080294,-0.243181314,-0.765170272,-0.72146263,-0.138427226,-1.290158339,-0.320551993,-0.301643721,-1.339432398,-0.995279402,-0.511349077,0.904955991,lyrical
-0.156168876,-0.406642981,0.160455713,-0.495627647,-0.489546393,-0.74603085,0.24737117,-0.548853723,-0.812619574,0.016331232,1.09605997,-0.173802286,-0.412552881,0.170068398,-0.171573114,0.33001673,0.603848356,-0.796331632,-2.012084126,-0.864678611,-1.350695376,-0.859532493,-0.979459988,-0.615513723,-0.979730461,1.373304879,-0.788286032,-0.173164463,0.208523943,-0.579753849,lyrical
0.126546474,-0.604700053,-0.972265451,0.315858479,1.897922008,2.329907974,1.452409364,2.050627099,1.089536966,-0.357812381,0.384351458,1.309334223,1.308534991,1.52553434,1.567993261,0.324915929,-0.040610965,-0.221568983,0.588533966,-0.574537086,-1.125546814,0.006797297,0.163515668,-1.293432239,-0.138509563,0.53520472,-1.369147309,-1.080612852,-0.169898732,-0.140152941,lyrical
1.701458138,2.297913563,2.247009671,0.533247085,-0.999255392,-0.747253405,-0.673852511,-0.577096369,-0.365575113,5.016746965,3.372713624,-0.332314959,-0.292356776,-0.662745591,-0.543459933,1.223677083,-0.934601133,1.071397955,-0.852695272,-1.401242676,1.402387824,1.000891742,2.705228753,-0.765224731,2.508409715,-1.517043451,-0.173327135,2.388920322,-0.363459756,-0.71541822,lyrical
-0.793129543,-0.703215487,-0.282471893,-0.73212734,-0.583345352,-0.76114358,-0.367600003,-0.712364873,-0.784145809,-0.614524057,-0.414853969,0.012797447,-0.068365135,-0.357174348,-0.315937517,-0.494017687,1.117685551,-1.13734465,0.787103328,0.460758824,-0.150929466,2.058672073,0.628071991,-0.721490708,0.61252463,-0.546984461,-0.440731673,-0.649782997,-0.465677375,-0.102578878,lyrical
-1.236174327,-0.876130599,-0.85491468,-1.087703801,-1.446322502,-0.904432611,-1.199838783,-0.72676895,-0.170547272,-0.39877701,1.42465925,-2.421459133,-2.122101653,-1.258219589,-1.210323839,-1.390993561,0.411691346,-0.645242103,-1.896785787,1.338774015,0.853253757,-0.992576163,1.053094191,-0.444339911,1.185112361,0.021883963,-0.921060084,-0.870401184,-0.728833373,-0.535052806,lyrical
