"","titles_vec","labels_vec","word_counts_vec","sent_counts_vec","para_counts_vec","commas_vec","sent_comma_freq_vec","para_comma_freq_vec","words_per_sentence_vec","words_per_paragraph_vec","sents_per_paragraph_vec","consecutive_counts_vec","consecutive_repeat_freq_vec","syll_and_word_freq_vec","polsyll_and_word_freq_vec","syll_and_sent_freq_vec","polsyll_and_sent_freq_vec","unique_counts_vec","type_token_ratio_vec","mean_usage_frequency_vec","numeric_labels_vec"
"1","absalomAbsalom","lyrical",132668,3027,569,7519,2.48397753551371,13.2144112478032,43.8282127518996,233.15992970123,5.31985940246046,326,0.107697390155269,1.3437302137667,0.0627807760726023,58.8932936901222,2.75156921043938,8981,0.0676952995447282,14.7720743792451,1
"2","billyBudd","lyrical",30743,1137,288,2061,1.81266490765171,7.15625,27.0386983289358,106.746527777778,3.94791666666667,40,0.0351802990325418,1.52587580912728,0.131607195133852,41.2576956904134,3.5584872471416,5773,0.187782584653417,5.32530746578902,1
"3","bloodMeridian","lyrical",115200,7552,2640,1924,0.254766949152542,0.728787878787879,15.2542372881356,43.6363636363636,2.86060606060606,811,0.107388771186441,1.27447916666667,0.0469010416666667,19.4412076271186,0.715439618644068,10079,0.0874913194444444,11.4297053279095,1
"4","eureka","lyrical",38566,1088,255,3476,3.19485294117647,13.6313725490196,35.4466911764706,151.239215686275,4.26666666666667,71,0.0652573529411765,1.61930197583364,0.1769952808173,57.3988970588235,6.27389705882353,4194,0.108748638697298,9.19551740581784,1
"5","gravitysRainbow","lyrical",330351,18847,5669,31565,1.6748023558126,5.56800141118363,17.5280415981323,58.273240430411,3.32457223496207,785,0.0416511911710086,1.41125651201298,0.0861296015450233,24.7365628481987,1.50968323871173,26428,0.0799997578333349,12.500037838656,1
"6","heartOfDarkness","lyrical",39085,2402,197,2870,1.19483763530391,14.5685279187817,16.2718567860117,198.401015228426,12.1928934010152,227,0.0945045795170691,1.35215555839836,0.0762184981450684,22.0020815986678,1.24021648626145,5418,0.138620954330306,7.21391657438169,1
"7","lifeAndTimesOfMichaelK","lyrical",66354,4253,762,3762,0.884552080884082,4.93700787401575,15.6016929226428,87.0787401574803,5.58136482939633,327,0.0768869033623325,1.27157368056183,0.0450764083551858,19.8387020926405,0.703268281213261,6564,0.0989239533411701,10.1087751371115,1
"8","lolita","lyrical",112193,5169,1189,8783,1.6991681176243,7.38687973086627,21.7049719481524,94.3591253153911,4.34735071488646,347,0.0671309731089186,1.41922401575856,0.093829383294858,30.8042174501838,2.03656413232734,14113,0.12579216172132,7.94962091688514,1
"9","mobyDick","lyrical",214183,7381,2434,16135,2.18601815472158,6.62900575184881,29.0181547215824,87.9963023829088,3.03245686113394,262,0.0354965451835795,1.37408664553209,0.0819999719865722,39.8734588809104,2.37948787427178,16747,0.0781901458098915,12.7893354033558,1
"10","mrsDalloway","lyrical",64267,3405,754,6098,1.79089574155653,8.08753315649867,18.8743024963289,85.2347480106101,4.5159151193634,265,0.0778267254038179,1.38318265984098,0.0780338276253754,26.1066079295154,1.47283406754772,7088,0.110289884388566,9.06701467268623,1
